rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,adagrasib,known_answer,3POZ,EGFR,WT,-2.06,-7.57131,1.52709,0.23269,8.17137
1,adagrasib,known_answer,4I24,EGFR,T790M,-2.71,-3.12584,4.76476,0.06514,7.02997
1,adagrasib,known_answer,4LDJ,KRAS,G12C,-3.14,-5.14044,2.3384,0.0545,6.16073
1,adagrasib,known_answer,5UGC,EGFR,L858R+T790M,-2.26,-8.87111,4.47174,0.39469,8.0017
1,adagrasib,known_answer,6OIM,KRAS,G12C+sotorasib,-2.32,-7.00068,2.66807,0.18048,6.6042
1,adagrasib,known_answer,8A2B,EGFR,L858R,-1.9,-6.98273,1.34773,0.2968,7.69822
1,adagrasib,known_answer,8FMI,KRAS,WT,-2.84,-6.07113,1.66841,0.11241,5.69009
1,afatinib,egfr_family,3POZ,EGFR,WT,-1.22,-8.00698,2.63109,0.40244,7.67287
1,afatinib,egfr_family,4I24,EGFR,T790M,0.07,-8.82721,1.18682,0.96289,8.27389
1,afatinib,egfr_family,4LDJ,KRAS,G12C,-1.72,-5.03513,1.94618,0.38054,6.78237
1,afatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.48,-6.38468,2.66809,0.49791,7.58052
1,afatinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.51,-6.19482,1.82336,0.1256,6.22266
1,afatinib,egfr_family,8A2B,EGFR,L858R,-0.36,-7.26421,1.28054,0.8964,7.75602
1,afatinib,egfr_family,8FMI,KRAS,WT,-1.8,-6.29146,2.85264,0.23005,6.69267
1,aspirin,repurposing_candidate,3POZ,EGFR,WT,0.33,-6.04566,0.63738,0.82207,4.87048
1,aspirin,repurposing_candidate,4I24,EGFR,T790M,-0.23,-5.44332,1.78173,0.46517,3.73896
1,aspirin,repurposing_candidate,4LDJ,KRAS,G12C,-0.72,-4.85317,1.4706,0.79649,3.79647
1,aspirin,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.15,-5.88362,0.64035,0.768,4.43815
1,aspirin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-5.02,-3.553,5.75196,0.18204,2.56487
1,aspirin,repurposing_candidate,8A2B,EGFR,L858R,-0.26,-4.97753,0.7091,0.71399,4.26865
1,aspirin,repurposing_candidate,8FMI,KRAS,WT,-0.31,-5.52688,1.31025,0.86626,3.84241
1,cimetidine,repurposing_candidate,3POZ,EGFR,WT,0.1,-5.08659,1.57239,0.32993,5.91802
1,cimetidine,repurposing_candidate,4I24,EGFR,T790M,-0.22,-5.40953,3.20136,0.67122,6.39275
1,cimetidine,repurposing_candidate,4LDJ,KRAS,G12C,-0.57,-4.79201,1.00711,0.69108,4.8711
1,cimetidine,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.56,-4.51084,1.5656,0.29336,5.44239
1,cimetidine,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.41,-2.95621,4.11927,0.10287,3.20235
1,cimetidine,repurposing_candidate,8A2B,EGFR,L858R,-0.27,-5.532,1.29804,0.2739,5.24558
1,cimetidine,repurposing_candidate,8FMI,KRAS,WT,-0.44,-4.55626,1.23948,0.56329,4.785
1,crizotinib,multi_kinase,3POZ,EGFR,WT,-1.2,-8.22245,1.32348,0.78953,8.17024
1,crizotinib,multi_kinase,4I24,EGFR,T790M,-0.58,-8.42236,0.85051,0.87419,8.31843
