name,category,target_rationale,evidence_level,pubchem_cid,molecular_formula,molecular_weight,smiles_canonical_rdkit,smiles_pubchem_raw
erlotinib,known_answer,EGFR WT/L858R sensitizing inhibitor; fails on T790M,clinical (landmark),176870,C22H23N3O4,393.4,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
gefitinib,known_answer,EGFR WT/L858R sensitizing inhibitor; fails on T790M,clinical (landmark),123631,C22H24ClFN4O3,446.9,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
osimertinib,known_answer,3rd-gen covalent (Cys797) EGFR-TKI engineered to hold on T790M,clinical (landmark),71496458,C28H33N7O2,499.6,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
sotorasib,known_answer,Covalent Cys12 KRAS G12C inhibitor (approved),clinical (landmark),137278711,C30H30F2N6O3,560.6,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C
adagrasib,known_answer,Covalent Cys12 KRAS G12C inhibitor (approved),clinical (landmark),138611145,C32H35ClFN7O2,604.1,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F
afatinib,egfr_family,"2nd-gen covalent (Cys797) pan-HER inhibitor, approved EGFR-mutant NSCLC",clinical,10184653,C24H25ClFN5O3,485.9,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4
dacomitinib,egfr_family,2nd-gen irreversible EGFR-TKI; bound in our locked T790M structure 4I24,clinical,11511120,C24H25ClFN5O2,469.9,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4
lapatinib,egfr_family,"Reversible dual EGFR/HER2 inhibitor, approved (breast cancer)",clinical,208908,C29H26ClFN4O4S,581.1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
vandetanib,egfr_family,"Reversible EGFR/VEGFR2/RET inhibitor, approved (thyroid cancer)",clinical,3081361,C22H24BrFN4O2,475.4,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
neratinib,egfr_family,"Irreversible pan-HER covalent inhibitor, approved (breast cancer)",clinical,9915743,C30H29ClN6O3,557.0,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C
divarasib,kras_family,"Covalent Cys12 KRAS G12C inhibitor, clinical-stage (RG6330)",clinical trial,146624881,C29H32ClF4N7O2,622.1,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c(F)c(-c4nc(N)cc(C)c4C(F)(F)F)c(Cl)cc23)[C@@H](C)C1,C[C@H]1CN(CCN1C2=NC(=NC3=C(C(=C(C=C32)Cl)C4=C(C(=CC(=N4)N)C)C(F)(F)F)F)OC[C@@H]5CCCN5C)C(=O)C=C
sunitinib,multi_kinase,"Multi-target RTK inhibitor, approved (renal cell carcinoma, GIST)",repurposing candidate,5329102,C22H27FN4O2,398.5,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
sorafenib,multi_kinase,"Multi-target RTK/RAF inhibitor, approved (renal, liver, thyroid cancer)",repurposing candidate,216239,C21H16ClF3N4O3,464.8,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
imatinib,multi_kinase,"BCR-ABL/KIT/PDGFR inhibitor, approved (CML, GIST)",repurposing candidate,5291,C29H31N7O,493.6,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
crizotinib,multi_kinase,"ALK/ROS1/MET inhibitor, approved (NSCLC, different driver)",repurposing candidate,11626560,C21H22Cl2FN5O,450.3,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
dasatinib,multi_kinase,"Multi-target kinase inhibitor, approved (CML)",repurposing candidate,3062316,C22H26ClN7O2S,488.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
ponatinib,multi_kinase,"Pan-BCR-ABL multi-kinase inhibitor, approved (CML)",repurposing candidate,24826799,C29H27F3N6O,532.6,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5
metformin,repurposing_candidate,AMPK activation indirectly suppresses KRAS/mTOR signaling (epidemiological/computational only),speculative,4091,C4H11N5,129.16,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N
simvastatin,repurposing_candidate,Blocks KRAS prenylation via farnesyl pyrophosphate depletion,computational/preclinical,54454,C25H38O5,418.6,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
